S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
429,The reward to capital as a factor of production is,rent.,wages.,interest.,commission.,,C,Production,,,,INTERMIDATE
430,Mining is an example of,Tertiary production,Primary production,Secondary production,Advanced production,,B,Production,,,,INTERMIDATE
431,As owner-manager  of a firm can also be called,A shareholder,An entrepreneur,An employer,A chairman,,B,Industrialization,,,,INTERMIDATE
432,"If the fixed cost of a firm is 800 Naira and is variable cost is 2,700 Naira while its total output is 100 units, what is the average cost of the firm?",25 Naira,35 Naira,45 Naira,50 Naira,,B,Theory of cost,,,,INTERMIDATE
433,Distribution of goods and services is hindered by ,good road network.,efficient storage facilties.,too many middlemen.,adequate market information.,,C,Production,,,,INTERMIDATE
434,A movement along the same demand curve either upwards or downwards as a result of changes in price implies,a change in demand.,a change in quantity demanded.,an increase in demand.,a shift in he demand curve to the right.,,B,Demand and supply,,,,INTERMIDATE
435,Middlemen in an economy perform the function of ,distribution.,exchange.,hoarding.,protection.,,A,Production,,,,INTERMIDATE
436,One of the factors affecting geographical distribution of population is,high birth rate.,high death rate.,encouragement of early marriages in the rural areas.,climatic conditions of the different parts of the country.,,D,Population,,,,INTERMIDATE
437,Standardization of products or sercices is a feature of,large firms.,retailers.,small firms,wholesalers.,,A,Industrialization,,,,INTERMIDATE
438,The amount of satifaction obtained from the consumption of a commodity at a particular time is called,marginal utility.,diminishing utility.,total utility.,average utility,,C,Theory of consumer behaviour,,,,INTERMIDATE
439,What are inferior goods? These are goods,that are generally in short supply.,that are no longer in demand.,whose demand falls as income increases.,whose price falls as demand increases.,,C,Demand and supply,,,,INTERMIDATE
440,"In the analysis of utility theory, the basis of demand is",marginal utility.,average utility.,fixed utility.,diminishing utility.,,A,Theory of consumer behaviour,,,,INTERMIDATE
441,"in the normal market situation, when the price of a commodity rises, the",demand for the commodity will rise.,demand for the commodity will fall.,supply of the commodity will be constant.,supply of the commodity will fall,,B,Market structure,,,,INTERMIDATE
442,"When the quantity of a commodity supplied increases and the quantity demanded decreases, there will be",a rise in price.,no change in price.,price fluctuation.,a fall in price.,,D,Demand and supply,,,,INTERMIDATE
443,The market price of a commodity is normally determined by the,law of demand.,interaction of the forces of demand and supply.,total number of people in the market.,total quantity of the commodity in the market.,,B,Demand and supply,,,,INTERMIDATE
444,The mechanism which allows the price of a commodity to be fixed either above or below the equilibrium is known as,Monopolistic competition,Price discrimination,Perfect competitive market,Price control,,D,Price system,,,,INTERMIDATE
445,A debenture holder is entitled to payments in the form of,allowance.,inerest.,salary.,domination.,,B,Financial institution,,,,INTERMIDATE
446,The main differnce between a private and a public enterprise is the ,amount of profit realized.,mode of operation.,objective of the business.,ownership structure.,,D,Business organization,,,,INTERMIDATE
447,The total amount of money raised by a compnay through insurrance of shares to the public is,debentures.,normal capital.,ordinary shares.,paid-up capital.,,C,Business organization,,,,INTERMIDATE
448,Buying and selling of shares is a function performed mostly by the,insurance companies.,stock exchange.,marchant banks.,discount houses.,,B,Business organization,,,,INTERMIDATE
449,Which of the followingj is not a reason  for establishing public enterprises?,Discouraging investors,Opening up neglected parts of the country,Effective control of a natural monopoly,Rapid economic development,,A,Business organization,,,,INTERMIDATE
450,"For a monopolist, the average revenue (AR) curve is",above the total cost curve.,the same as the marginal cost curve.,above the marginal revenue curve.,the same as that of the perfect competitor.,,C,Thoery of cost and revenue,,,,INTERMIDATE
451,Advertising expenses would not be necessary under pefect competition because,consumers would have complete knowledge of goods.,cost of production would be at the maximum level.,every firm would enjoy the benefits of large scale production.,incomes of the consumers in the community would be high.,,A,Market structure,,,,INTERMIDATE
452,The equilibrium level of outp0ut of a monopolist is determined at a point where,marginal cost equals average revenue.,marginal cost equals average cost.,marginal cost equals marginal revenue.,marginal revenue equals average cost.,,C,Market structure,,,,INTERMIDATE
453,Which of the following is a legal tender in West Africa?,Treasury bill,Share ,Credit card,currency.,,D,Money,,,,INTERMIDATE
454,The policy of government to increase the supply of money to meet its own expenditure plans is likely to be,speculative.,deflationary.,inflationary,contractionary  ,,C,Public finance,,,,INTERMIDATE
455,The tendency for prices to rise while the value of money falls is known as,Bill of exchange,Inflation,Depreciation,Deflation ,,B,Inflation and deflation,,,,INTERMIDATE
456,One way to solve the economic problem of inflation in a country is by increasing the,supply of commodities.,supply of currency.,salaries of workers.,demand for commodities.,,A,Inflation and deflation,,,,INTERMIDATE
457,The motive for holding money for investing in securities is referred to as,Transactionary,Speculative  ,Accumulation,Deflationary  ,,B,Money,,,,INTERMIDATE
458,A cheque book is issued to customers of a bank operating a,savings account.,time deposit account.,current account.,fixed deposit account.,,C,Financial institution,,,,INTERMIDATE
459,Amount proposed for payments of wages and salaries in a budget is regarded as part of,recurrent expenditure.,direct investment.,recurrent revenue.,capital receipts.,,A,Public finance,,,,INTERMIDATE
460,The difference between the Gross National Product (GNP) and the Gross Domestic Product (GDP) is,Total interest payment,Net income generated internally,Total national savings,Net income from abroad,,D,National income,,,,INTERMIDATE
461,Which of the following agricultural systems is mainly for the cultivation of food crops for family consumption?,Co-operative farming,Commercial farming,Subsistence farming,Plantation farming,,C,Agriculture,,,,INTERMIDATE
462,Agriculture is important jto the economy of West African countries because it is the source of,power.,equipment supply.,industrial input.,technological progress.,,C,Agriculture,,,,INTERMIDATE
463,The economic system in which the state takes the economic decision through detailed planning is,Capitalism,Socialism,Traditional economic system,Mixed economic system,,B,Basic economic system,,,,INTERMIDATE
464,A mixed economy combines the characteristics of both,Planned and capitalist economies,Exchange and subsistence economies,Subsistence and planned economies,Capitalist and exchange economies,,A,Basic economic system,,,,INTERMIDATE
465,"In a rapidly growing economy, a change in technilogy which is labour saving is likely to cause",residual unemployment.,structural unemployement.,disguised unemployment.,frictional unemployment.,,D,Basic economic system,,,,INTERMIDATE
466,Which of the following is a form of tax evasion? ,Wrong declaration of earnings,Payments of flat rate tax,Consant change of employment,Low capacity utilization,,A,Public finance/taxation,,,,INTERMIDATE
467,Where the burden of a tax finally rests is called,Tax object,Tax rate  ,Incidence of taxation,System of taxation,,C,Public finance/taxation,,,,INTERMIDATE
468,An increase int he quantity of goods and services produced in a country which raises her national income is known as,Economic development,Economic growth,Domestic investment,Productivity,,B,National income,,,,INTERMIDATE
469,"In which of the folowimg economic systems is consumer referred to as ""THE KING""?",A planned economy,Mixed economy,Traditional economy,Free Market economy,Socialist  economy,D,Economic system,,,,INTERMIDATE
470,Subsistence farming means producing food,mainly for the need of our immediate and extended family,crops for sale mainly,crops mainly for export,to feed the community around,in order to satisfy government directives,D,farming system,,,,INTERMIDATE
471,Which of the following is an invisible item?,Banking services,Petroleum products,Processed rice,Processed milk,,A,Services,,,,INTERMIDATE
472,"In an attempt to correct a deficit balance of payment, a country may be decide to increase",domestic production.,imports.,domestic expenditure.,tax on infant industries.,,A,International trade,,,,INTERMIDATE
473,Which of the following is an objective of economic integration?,Harmonization of cultural practices,"Free movement of persons, goods, and services",Payment of high tariffs,Dumping of goods in less developed countries,,B,Economic development and planning,,,,INTERMIDATE
474,One of the functions of the International Monetary Fund (IMF) is to,devalue the currency of member states.,reduce drastically the size of deficit financing of member states. ,give financial assistance to member states that have temporary balance of payment difficulties.,discourage the rapid industrialization process in the less developed nations of the world.,,C,International economic organizations,,,,INTERMIDATE
475,The full meaning of OPEC is,Oil and Petroleum Exporting Countries,Original Petroleum Exporting Countries,Organization of Petrol Exporting Countries,Organization of Petroleum Exporting Countries,,D,International economic organizations,,,,INTERMIDATE
476,The main concern of economists is to,allocate scarce resources to satisfy human wants.,satisfy all human wants.,redistribute income between the rich and the poor.,control the growth of population.,,A,Economics meaning and basic concepts,,,,INTERMIDATE
477,Productive resources can also be called,Principle of production,Factors of production,Items of production,Labour and material resources,,B,Production,,,,INTERMIDATE
478,Production covers all the following except when,utility is created.,a good is manufactured.,a commodity is consumed. ,individual wants are satisfied.,,C,Production,,,,INTERMIDATE
479,Data presented in tables are usually arranged in,charts and graphs.,rows and columns.,graphs and rows.,columns and charts,,B,Basic tools for economic analysis,,,,INTERMIDATE
480,"The theory of diminishing marginal utility states thakt as more units of a commojdity are consumed, the",satisfaction from an extra unit decreases.,satisfaction from an extra unit rises.,satisfaction from an extra unit remains constant.,total satisfaction from the good remains the same.,,A,Theory of consumer behaviour,,,,INTERMIDATE
481,Which of the following factors does not cause a change in demand?,Taste and fashion,Vagaries of weather,Price of other commodities,Price of the commodity,,D,Demand and supply,,,,INTERMIDATE
482,"If goods P and Q are jointly demanded, an increase the price of P will likely",leave the demand for Q constant but reduce the quantity demanded of P.,reduce the quantity of P but increase the price of Q,increase the quantity supply of Q ,decrease the quantity demand of Q,,D,Demand and supply,,,,INTERMIDATE
483,The gap between demand and supply curves above the equilibrium price is,normal demand,excess supply,equilibrium quantity,abnormal demand,,B,Demand and supply,,,,INTERMIDATE
484,A major function of the price machenism is that it determines the,Allocation of resources,amount of national savings,population of the country,number of goods to be taxed,,A,Price system,,,,INTERMIDATE
485,Which of the following determinants of supply cannot be predicted easily?,Price of the commodity,New techniques of production,National emergencies,Mobility of labour,,C,Demand and supply,,,,INTERMIDATE
486,"If the co-efficient of elasticity of demand is 1.5,  then the demand is",fairly inelastic,perfectly elastic,Elastic and normal,inelastic,,C,Demand and supply,,,,INTERMIDATE
487,Small scale enterprises are important in a country becuase,they usually produce goods for the dependants.,they provide after-sales services only to the rich.,the prices of their jproducts are fixed.,they render personalized services to the consumers.,,D,Business organizations,,,,INTERMIDATE
488,In the long run all factors of production are,expensive.,variable.,durable.,fixed.,,B,Theory of cost,,,,INTERMIDATE
489,The transformaltion curve slope indicates the,opportunity cost of producing one commodity for another. ,opportunity cost of producing two commodities at a time.,sale of the plant to other investors.,decrease in the cost of production.,,A,Production,,,,INTERMIDATE
490,Which of the following is regarded as fixed cost?,Expenditure on raw materials,Expenditure on fuel,Expenditure on power,Rent on land,,D,Theory cost,,,,INTERMIDATE
491,Revenue is the,cost of goods multiplied by the quantity sold.,price of goods multiplied by the quantity sold.,Quantity of goods plus purchase price.,quantity supplied less quantity sold.,,B,Theory of cost and revenue,,,,INTERMIDATE
492,A business outfit is said to be a public limited company when it,is owned by the government.,operates as a public corporation.,is run by public.,sells its shares to members of the public.,,D,Business organizations,,,,INTERMIDATE
493,The main characteristics of an ordinary share are,"maximum risk, fixed dividends, voting rights.","maximum risk, fixed dividends, no voting rights.","maximum risk, variable dividends, voting rights.","minimum risk, fixed dividends, no voting rights.",,C,Business organization,,,,INTERMIDATE
494,The monopolist can determine,price and output.,price only.,output only.,price or output.,,D,Market structure,,,,INTERMIDATE
495,A market situation with a large number of firms selling closely reated but differentiated products is,Monopolistic competition,Perfect competition,Monopoly,Monopsony,,A,Market structure,,,,INTERMIDATE
496,Equilibrium under perfect competition requires that,MC = MR but AR < AC,MR = MC = AR = AC,AC = AR < MC,TR < TC,,B,Theory of cost and revenue,,,,INTERMIDATE
497,The purely competitive firm should close down when its price is less than its,average variable costs.,total fixed cost.,average total cost.,marginal cost.,,A,Theory of cost and revenue,,,,INTERMIDATE
498,"During a sale by auction, the price at which the good is finally sold is determined mostly by",competition between buyers and sellers.,competition among buyers.,competition among sellers.,government policy.,,B,Price system,,,,INTERMIDATE
499,Which of the following does not affect a country's population?,Birth rate,Death rate,Emigration,Unemployment,,D,Population,,,,INTERMIDATE
500,The trade unions in West Africa have achieved the following for the workers except,Increased wages,Better condition of service,Competitive determination of wage rate,Improve welfare facilities,,C,Trade unions,,,,INTERMIDATE
501,The employers' demand curve for labour is represented by the,Marginal product curve of labour,Total product curve of labour,Average product curve of labour,Total cost curve of labour,,A,Production,,,,INTERMIDATE
502,Agriculture plays a dominant role in our country because,It is the main source of energy.,It employs more than 50% of the total labour force.,It supplies all industrial inputs.,"There are large plantations of cocoa, groundnut and palm oil.",,B,Agriculture,,,,INTERMIDATE
503,The main objective of specialization is to,allocate resources.,limit workers' skill.,increase the use of labour.,increase productivity.,,D,Production,,,,INTERMIDATE
504,Industry can be defined as,several firms producing different commodities.,group of firms producing similar commodities.,different firms producing equal number of commodities.,many firms producing for export.,,B,Industrialization,,,,INTERMIDATE
505,Which of the following is a disadvantage of large scale production?,Market economies,Managerial economies,Impersonal organization,Division of labour,,C,Production,,,,INTERMIDATE
506,The national income of a country can be estimated through the,output approach.,input approach.,empirical approach.,census approach.,,A,National income,,,,INTERMIDATE
507,A medium of exchange which is generally acceptable is,barter.,a cheque.,government bond.,money.,,D,Money,,,,INTERMIDATE
508,"Since money is demanded for what it can buy, the demand is said to be",derived.,joint.,composite.,complementary.,,A,Money,,,,INTERMIDATE
509,The supply of money in the economy includes,bank notes only.,bank notes and coins.,bank notes and bank deposits.,"bank notes, coins, and bank deposits.",,D,Money,,,,INTERMIDATE
510,The indicator of the value of money is,the general price level.,the equilibrium price.,consumers' income.,the interest rate.,,A,Money,,,,INTERMIDATE
511,A continuous fall in the general price level is called ,recession.,depression.,deflaltion.,stagflation.,,C,Inflation and deflation,,,,INTERMIDATE
512,The Central Bank can restrict credit through,depreciation of assets.,granting overdraft.,direct investment.,open market operation.,,D,Financial institution,,,,INTERMIDATE
513,Creation of money by commercial banks is done by,increasing the cash ratio.,printing money.,lending to borrowers.,issuing cheques.,,C,Financial institution,,,,INTERMIDATE
514,Public finance is basically an analysis of the,income and expenditure of government.,expenditure patterns of government.,current and capital receipts of government.,current and capital expenditure of government.,,A,Public finance,,,,INTERMIDATE
515,A major use of taxation is to,control population growth rate.,influence people's spending habits.,control money supply.,create bank credits.,,C,Public finance/taxation,,,,INTERMIDATE
516,A tax which is expressed as a given absolute sum of money per unit of a commodity is known as,a specific tax.,a direct tax.,an indirect tax.,a value added tax.,,D,Public finance/taxation,,,,INTERMIDATE
517,All indirect taxes tend to be,progressive.,regressive.,certain.,equitable.,,B,Public finance/taxation,,,,INTERMIDATE
518,Which of the following  will have a more destabilizing effect on the economy?,A tax on the prices of vehicles,A tax on petrol,A decrease in the supply of vehicles,Moderate increase in wages,,B,Economic development and planning,,,,INTERMIDATE
519,An important feature of economic development is,population explosion.,reduction in exports.,high literacy level.,low exports.,,C,Economic development and planning,,,,INTERMIDATE
520,Trade among nations is desirable because it,enables people in a country to know those in other countries.,makes it possible for people in a country to enjoy the goods and services produced in other countries.,enables residents in a country to understand the language of residents of other countries.,makes it possible for acountry to have the currencies of other countries.,,B,International trade,,,,INTERMIDATE
521,Invisible trade refers to trade in,services.,goods and services.,tangible goods. ,crude oil.,,A,International trade,,,,INTERMIDATE
522,Balance of payment surplus implies that the value of the country's,exports exceeds its imports.,imports exceeds its exports.,exports is equal to its imports.,terms of trade is constant.,,A,International trade,,,,INTERMIDATE
523,The Economic Commission for Africa is an agency of the ,Organization of African Unity.,African Development Bank.,European Union.,United Nations Organization.,,D,International trade,,,,INTERMIDATE
524,Which of the following cannot be described as land?,Forest,Diamond,Roads,crude oil.,,C,Production,,,,INTERMIDATE
525,An outward shift of the production possibility curve shows that,production is shifting to the right.,resources are underutilized.,economic growth has taken place.,factors of production are moving outward.,,B,Production,,,,INTERMIDATE
526,The following constitute the criteria for identifying an economic system except ,Ownership of resources,Scarcity of resources,Method of decision making,Motivation for production,,B,Bsic economic system,,,,INTERMIDATE
527,"A disadvantages of the mean as a measure of central tendency is that, it",is affected by extreme values.,can only used for continuous data.,cannot be used to measure the qualities of a population.,cannot be determined in grouped data.,,A,Basic tools for economic analysis,,,,INTERMIDATE
528,Which of the following is not an effect of many middlemen in the chain of distribution?,shortage of a commodities,Low retail prices,Hoarding of goods,High retail prices,,B,Production,,,,INTERMIDATE
529,"If the price of flour rises, then bread's",demand curve will shift to the left while supply curve will shift to the right.,supply curve will shift to the left ,supply curve will shift to the right.,demand curve wll shift to the right while supply curve remains unchanged.,,A,Demand and supply,,,,INTERMIDATE
530,Which of the following is not a reason for abnormal demand?,Pricke of the commodity,Goods of ostentation,Giffen goods,Rare commodity,,A,Demand and supply,,,,INTERMIDATE
531,Inrease in production subsidies will shift,the demand curve jto the left.,the supply curve to the right.,both the supply and demand curves to the left.,the supply curve to the left and demand curve to the right.,,D,Demand and supply,,,,INTERMIDATE
532,The market supply curve slopes upwards from left to right indicating that,producers pay high taxes.,two commodities can be supplied at the same time.,"at a lower price, less is supplied.","at a lower price, more is supplied and demanded.",,C,Demand and supply,,,,INTERMIDATE
533,Government revenue will increase if taxes are levied on goods with,perfect elastic demand.,fairly elastic demand.,perfectly inelastic demand.,unitary elastic demand.,,C,Public finance,,,,INTERMIDATE
534,"If a given change in price brings about a proportionately larger change in quantity demanded, then",demand is relatively price elastic.,demand is relatively price inelastic.,price elasticity of demand is unirtary.,price elasticity of demand is constant.,,A,Demand and supply,,,,INTERMIDATE
535,"If the price of a commodity Z falls and a consumer buys less of it, then commodity Z is a ",necessity.,good of ostentation.,Giffen good.,normal good.,,C,Demand and supply,,,,INTERMIDATE
536,"In order to calculate total utility (TU) from given levels of marginal utility (MU), one has to",subtract MU from TU.,add MU from the various levels.,multiply MU by the initial TU.,divide current MU by previous MU.,,B,Theory of consumer behaviour,,,,INTERMIDATE
537,Which of the following will not affect the market price of commomdity?,Increase in demand,Change in tastes,Intersection of demand and supply,Increase in supply,,C,Demand and supply,,,,INTERMIDATE
538,All the following are methods of determining prices except,Maximum pricing,Rationing,Minimum pricing,Auctioning,,B,Price system,,,,INTERMIDATE
539,The law of diminishing returns relates to,total utility.,average utility.,total product.,marginal product.,,D,Theory of consumer behaviour,,,,INTERMIDATE
540,"By adding all the marginal products at each level of employment of the variable input, we obtain a value equal to",average product.,total product.,average variable cost.,total cost.,,B,Production,,,,INTERMIDATE
541,Total cost is obtained by,adding up the marginal cost at each level.,dividing the toral cost by output at each level.,adding up the average variable cost at each level.,adding up the average variable cost and total fixed cost.,,A,Theory of cost,,,,INTERMIDATE
542,Which of the following cost curves is not U-shaped? The,marginal cost curve,average fixed cost curve,average total cost curve,average variable cost curve,,B,Theory of cost,,,,INTERMIDATE
543,Which of the following business organizations is likely to experience disagreement between management and shareholders?,Co-operative society,Sole trader,Partnership,Joint Stock Company,,D,Business organization,,,,INTERMIDATE
544,Which of the following is not a method of controlling monopoly?,Preventing mergers,Indigenization,privatization,Imposing high profit tax,,C,Market structure,,,,INTERMIDATE
545,Which of the following features distinguiskhes a public limited company from a private limited company?,Perpetual existence,Limted Liability,Legal entity,Sale of shares to the public,,D,Business organization,,,,INTERMIDATE
546,Inflation may occur if there is ,excess supply over demand.,increase in productivity.,excessive demand with limited supply.,increased government spending in a depressed economy.,,C,Inflation and deflation,,,,INTERMIDATE
547,Frictional unemployment occurs when,there is a change in the technique of production.,job seekers lack information where jobs exist.,bad weather prevents work from progressing.,job seekers have disabilities.,,A,Unemployment,,,,INTERMIDATE
548,Which of the following will increase the demand for labour?,Increased wage rate,Labour's demand for output,Low wage rate,Low marginal productivity of labour,,D,Production,,,,INTERMIDATE
549,One reason for low agricultural productivity in most West African countries is that,Farmers are not capabile of cultivating cash crops.,It does not provide income to farmers with large families.,farmers find it difficult getting help from financial institutions.,it is not the only source of raw materials for agro-based industries.,,C,Production,,,,INTERMIDATE
550,The movement of labour from one grade to an entirely different grade is an example of,industrial labour mobility.,horizontal occupational mobility.,vertical occupational mobility.,geographical mobility.,,C,Production,,,,INTERMIDATE
551,Ten bags of wheat bought for $50 by a flour miller were sold for $65. What is the value added tax payable by the flour miller if the tax rate is 5%?,$7.50,$3.25,$2.25,$0.75,,C,Taxation,,,,INTERMIDATE
552,Which of the following is not a strong basis for trade union's demand for higher wages? The,company is making higher profit.,productivity of the workers has increased.,members of the union have high qualifications.,commodities produced by the workers is very essential.,,C,Trade union,,,,INTERMIDATE
553,The difference between the Gross Domestic Product (GDP) and the Gross National Product (GNP) is,depreciation.,transfer payment.,net income from aborad.,direct taxes.,,C,National income,,,,INTERMIDATE
554,Location of firms of an industry is not influenced by,availability of raw materials.,existence of other firms.,nearness to the source of money supply.,government policy.,,C,Industrialization,,,,INTERMIDATE
555,"In national income accounting, the term net is used to indicate that a value",incudes income of foreigners.,excludes income of citizens.,includes depreciation.,excludes depreciation.,,D,National income,,,,INTERMIDATE
556,Which of the following best describes token money?,Money in the vaults of commercial banks,Currency and coins in circualtion,Money with face value higher than its material content,Coins and notes made of poor quality materials,,D,Money,,,,INTERMIDATE
557,An industry is best described as,firm that sells a set of closely related commodities.,a factory that produces different lines of products.,a group of firms that sell a closely related set of products.,industrial concern that is into production and selling of goods.,,C,Industrialization,,,,INTERMIDATE
558,"In developing countries, a larger percentage of the labour force is employed in the",trade sector.,tertiary sector.,primary sector.,secondary sector.,,C,Economic development and planning,,,,INTERMIDATE
559,The main item traded on a stock exchange market is,Treasury bill,Travellers' cheques,Foreign currencies,New shares,,D,Market structure,,,,INTERMIDATE
560,The proportiona of commercial banks' total assets kept in the form of highly liquid assets is known as,Demand deposit,Fixed deposit,Cash ratio,Moral suasion,,A,Financial institutions,,,,INTERMIDATE
561,Which of the following is not an objective of economic planning is?,Need to direct economic development of the country towards the desired direction.,Desire to ensure austained structural development of the country. s,Desire to widen the gap between developing countries and the developed world.,Management of scarce resources in the face of unlimited want of the citizens.,,C,Economic development and planning,,,,INTERMIDATE
562,"In order to control inflation, the government should",reduce the cost of borrowing.,buy securities in the open market.,adopt restrictive monetary p0olicy.,discourge savings.,,C,Inflation and deflation,,,,INTERMIDATE
563,"When the demand for foreign exchange exceeds its supply, the value of the domestic currency.",appreciates.,depreciates.,remains unchanged.,expands.,,B,International trade,,,,INTERMIDATE
564,The exports of West African countries are mainly composed of ,serfices.,raw materials.,manufactured jgoods.,consumer goods.,,B,International trade,,,,INTERMIDATE
565,A conscious effort of government to achieve a  specific set of goals is,Economic planning,Economic development,Economic growth  ,Economic target,,A,Economic development and planning,,,,INTERMIDATE
566,A country has favourable terms of trade when the prices of her,exports rise relative to the prices of imports.,exports fall relative to the prices of imports.,import rise faster than the prices of exports.,imports and exports move in the same direction.,,A,International trade,,,,INTERMIDATE
567,The abolition of all forms of trade barriers among member countries while maintaining common external tariffs against non-members is a feature of a,free trade.,customs union.,common market.,economic union.,,B,International trade,,,,INTERMIDATE
568,"In order to correct adverse balance of payments problem, goverment should",reduce tarrifs.,increase subsidies on exports.,inrease tax on local industries.,reduce personal income tax.,,B,International trade,,,,INTERMIDATE
569,Which of the following is a benefit to a member country of the World Bank?,Easy access to long term loans,Management of foreign exchange,Mediating in labour disputes,Financing balance of payments deficit,,A,International trade,,,,INTERMIDATE
570,Which of the following is an objectives of OPEC? To,prevent fluctuation in prices of all commodities.,protect the economic interest of all countries.,control the level of outp0ut of oil.,discover oil in all countries.,,C,International economic organisation,,,,INTERMIDATE
571,The money payment made to owners of land and labour are,Rent and wages,Interest and profit,Wages and interest,Dividend and salary,,A,Production,,,,INTERMIDATE
572,The price elasticity coefficient indicates,how far business can reduce cost.,the degree of competition.,the extent to which curve shifts.,consumer responsiveness to price changes.,,D,Demand and supply,,,,INTERMIDATE
573,Every society strives to pursue all the followiung economic objectives except,increased production.,price stability.,an inedquitable distribution of income.,sustainable growth and development.,,C,Basic economic system,,,,INTERMIDATE
574,Which of the following best describes capital as a factor of production?,A natural resource found everywhere,A stock of physical assets used for production,The organization of human and magerial resources for production,Resoruces used in training labour,,B,Production,,,,INTERMIDATE
575,The system whereby goods are exchanged for goods is known,Stock exchange,Barter system,Banking,Co-operative system,,B,Money,,,,INTERMIDATE
576,The graph of the function X = a + bY is ,Linear,Quadratic,Cubical,Exponential,,A,Theory of cost,,,,INTERMIDATE
577,"Productivity, per worker, is best measured by ",Total output less number of workers,Total output mutiplied by number of workers,Number of workers less total output,Total output divided by number of workers,,D,Production,,,,INTERMIDATE
578,"In determining costs, economists consider ",implicit costs only.,explicit cost only.,implicit and explicit cost.,explicit costs less implicit costs.,,C,Theory of cost,,,,INTERMIDATE
579,The precautionary motive for holding money is to enable the holder to,buy stocks when interests are high.,overcome unforseen contingences.,buy goods and services on daily basis.,buy fixed assets.,,B,Money,,,,INTERMIDATE
580,"In the long run, all factor inputs are",Variable,Diminishing  ,Constant,Fixed,,A,Theory of cost,,,,INTERMIDATE
581,The benefit that results from concentrating similar firms in an area is referred to as,external diseconomies of scale.,inernal diseconomies of scale.,internal economies of scale.,exerternal economies of scale.,,D,Industrialization,,,,INTERMIDATE
582,Per capita income in any West African country is measured by,dividing the GNP by total population.,adding the total savings to the GNP.,multiplying the GNP by the total population.,subtracting the GNP from the GDP.,,A,National income,,,,INTERMIDATE
583,A priority rating of aggregate individual wants is called,scarcity.,choice.,scale of preference.,opportunity cost.,,C,Basic economics concepts,,,,INTERMIDATE
584,Profit can be calculated by ,subtracting total cost from total revenue.,substracting average revenue from total cost.,dividing total revenue by total output.,Dividing marginal revenue by marginal cost.,,A,Theory of cost and revenue,,,,INTERMIDATE
585,The marginal revenue curve of a monopolist is,upward sloping from right to left.,downward sloping from right to left.,parrallel to the quantity axis.,downward sloping from left to right.,,D,Theory of cost and revenue,,,,INTERMIDATE
586,When all factor inputs are doubled the producltion possibility curve will,shift from left to right and return to its original position.,shift from left to right.,remain inits former position.,shift from right to left.,,B,Production,,,,INTERMIDATE
587,Income elasticity of demand is the measurement of the responsiveness of,price to changes in income.,quantity demanded to changes in income.,changes in expenditure to changes inincome.,changes in expenditure to changes in price of the commodity.,,B,Demand and supply,,,,INTERMIDATE
588,The establishment of industries in rural areas will help to reduce,urban-rural migration.,urban-urban migration.,rural-urban migration.,rural-rural migration.,,C,Industrialization,,,,INTERMIDATE
589,Government imposes taxes mainly to,punish the citizens.,provide social amenities.,donate to poorer countries.,execute white elephant projects.,,B,Taxation,,,,INTERMIDATE
590,"In a perfect market, price and quanity to be bought are determined by the ",consumers and retailers.,producers and wholesalers.,forces of demand and supply.,interest of government and producers.,,C,Market structure,,,,INTERMIDATE
591,When price elasticity of supply is equal to 0.4 suppoly is said to be,inelastic. ,elastic.,unitary elastic.,public utilities.,,A,Demand and supply,,,,INTERMIDATE
592,"In the money market, money can only be borrowed for",long term.,short term.,capital project.,public utilities.,,B,Market structure,,,,INTERMIDATE
593,Deflation can be controlled by inrease in,the bank rate.,income tax.,the rpice level.,the budget deficit.,,C,Inflation and deflation,,,,INTERMIDATE
594,Mortgage banks give loans to investors on long term basis to,finance agriculture.,establish banks.,acquire machinery.,build houses.,,D,Financial institution,,,,INTERMIDATE
595,The situation whereby a government spends more than it budgets for a fiscal year is known as,extra budget.,surplus budget.,mid-year budget.,deficit budget.,,D,Public finance,,,,INTERMIDATE
596,"In a socialist economy, factors of production are owned and controlled by the",citizens.,Businessmen,government.,foreigners.,,C,Basic economic system,,,,INTERMIDATE
597,One quality of money which makes it possible to be carried easily is its,scarcity.,durability.,portability.,acceptability.,,C,Money,,,,INTERMIDATE
598,A form of tax in whicih gthe poor pay a higher rate than the rich is known as,regressive tax.,backward tax.,oppressive tax.,retrogressive tax.,,A,Taxation,,,,INTERMIDATE
599,The reduction in the value of a country's currency in relation to the value of the currencies of other nations is known as,deflation.,devaluation.,inflation,revaluation.,,B,International trade,,,,INTERMIDATE
600,The creation of utility can be referred to as,value added.,profit maximization.,Entrepreneurship,production.,,D,Production,,,,INTERMIDATE
601,Government revenue will increase if tax is imposed on a good whose demand is,elastic.,inelastic.,unitary elastic.,perfectly elastic.,,B,Public finance/taxation,,,,INTERMIDATE
602,Occupational distribution of population is mainly influence by,ecoomic factors.,religious factors.,geographical factors.,social factors.,,A,Occupation,,,,INTERMIDATE
603,Proporational tax refers to ,taxation of the rich only. ,Equal tax rate for all people.,unequal tax rate for all people.,taxation of civil servants only.,,B,Public finance/taxation,,,,INTERMIDATE
604,Which of the following is not an item of capital expenditure?,Construction of highways,Building dams,Payment of salaries and wages,Building of a new university,,C,Public finance,,,,INTERMIDATE
